,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,📊 Pivot1: Pivot_Yearly_Summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Total_Crimes,Total _Rape_Cases,Kidnapping_And_Abduction_Of_Women_And_Girls,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Robbery,Cruelty_By_Husband_Or_His_Relatives,Total_Murders,Culpable_Homicide_Not_Amounting_To_Murder,Kidnapping_And_Abduction_Of_Others,Cheating,Hurt_Or_Grievous_Hurt,Causing_Death_By_Negligence,Ipc_Crimes,Violent Crimes,Property Crimes,YoY Change %,,,SUM of Total_Crimes,Year,,,,,,,,
,Shimoga,134833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visakhapatnam,134417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trivandrum Commr.,133661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rajgarh,132576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kutch,132259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sikar,132078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nagpur Rural,132037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aligarh,131581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bareilly,131234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamnagar,130793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kheda North,130628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coimbatore Urban,129162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chhindwara,128685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rajkot Commr.,128428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burdwan,127963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palanpur,127918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nagaur,127396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Navi Mumbai,126813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chhatarpur,126750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kozhikode Rural,126648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nagaon,126608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dausa,126253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rajkot Rural,126095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shivpuri,126036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thiruvannamalai,125374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ranchi,124232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vidisha,124138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kanyakumari,123620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akola,122746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaishali,122447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beed,122300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gandhinagar,122214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
